season_id,archetype,games_won,games_played,game_win_rate
Season-4,Aggro,137,252,0.5436507936507936
Season-4,Aggro-Combo,40,68,0.5882352941176471
Season-4,Aggro-Control (Tempo),37,74,0.5
Season-4,Combo,175,368,0.47554347826086957
Season-4,Combo-Control,71,130,0.5461538461538461
Season-4,Control,126,252,0.5
Season-4,Control-Aggro (Midrange),42,104,0.40384615384615385
Season-5,Aggro,64,121,0.5289256198347108
Season-5,Aggro-Combo,4,8,0.5
Season-5,Aggro-Control (Tempo),11,19,0.5789473684210527
Season-5,Combo,57,112,0.5089285714285714
Season-5,Combo-Control,15,29,0.5172413793103449
Season-5,Control,62,127,0.4881889763779528
Season-5,Control-Aggro (Midrange),13,29,0.4482758620689655
Season-All,Aggro,201,373,0.5388739946380697
Season-All,Aggro-Combo,44,76,0.5789473684210527
Season-All,Aggro-Control (Tempo),48,93,0.5161290322580645
Season-All,Combo,232,480,0.48333333333333334
Season-All,Combo-Control,86,159,0.5408805031446541
Season-All,Control,188,379,0.49604221635883905
Season-All,Control-Aggro (Midrange),55,133,0.41353383458646614
