season_id,archetype,matches_won,matches_played,match_win_rate
Season-4,Aggro,54,108,0.5
Season-4,Aggro-Combo,15,28,0.5357142857142857
Season-4,Aggro-Control (Tempo),15,32,0.46875
Season-4,Combo,66,152,0.4342105263157895
Season-4,Combo-Control,29,52,0.5576923076923077
Season-4,Control,51,108,0.4722222222222222
Season-4,Control-Aggro (Midrange),16,44,0.36363636363636365
Season-5,Aggro,14,24,0.5833333333333334
Season-5,Aggro-Combo,2,4,0.5
Season-5,Aggro-Control (Tempo),3,4,0.75
Season-5,Combo,15,24,0.625
Season-5,Combo-Control,3,8,0.375
Season-5,Control,7,28,0.25
Season-5,Control-Aggro (Midrange),0,4,0.0
