season_id,scryfallId,archetype,count
Season-4,0020c31b-002a-4121-bc61-2c2c16e9afc8,Aggro,1
Season-4,0020c31b-002a-4121-bc61-2c2c16e9afc8,Aggro-Combo,2
Season-4,0020c31b-002a-4121-bc61-2c2c16e9afc8,Control-Aggro (Midrange),1
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Aggro-Combo,1
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Aggro-Control (Tempo),2
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Combo,3
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Combo-Control,1
Season-4,0027e5ca-8046-40a0-bd73-79be55f28bff,Control,2
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,Aggro,3
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,Aggro-Combo,2
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,Combo-Control,1
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,Control,1
Season-4,0055ea30-20fb-4324-a632-8fed87628f05,Control-Aggro (Midrange),3
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Aggro,2
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Aggro-Combo,1
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Aggro-Control (Tempo),1
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Combo-Control,2
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Control,1
Season-4,005dae9a-dddc-4a11-95bb-cce319edcce4,Control-Aggro (Midrange),1
Season-4,006d2bf1-20f7-4b09-8d98-8233d91682bd,Aggro,7
Season-4,006d2bf1-20f7-4b09-8d98-8233d91682bd,Control,2
Season-4,00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Combo,4
Season-4,00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Combo-Control,3
Season-4,00f9955f-a522-47bf-b064-92dd21a76b18,Combo,1
Season-4,00f9955f-a522-47bf-b064-92dd21a76b18,Control,2
Season-4,00f9955f-a522-47bf-b064-92dd21a76b18,Control-Aggro (Midrange),1
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Aggro,2
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Combo,3
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Combo-Control,1
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Control,1
Season-4,01006833-6007-4c16-9ebb-20d31c60a57a,Control-Aggro (Midrange),1
Season-4,01794178-cf41-454c-ac37-1d8b18e42db2,Aggro,1
Season-4,01794178-cf41-454c-ac37-1d8b18e42db2,Aggro-Combo,3
Season-4,01794178-cf41-454c-ac37-1d8b18e42db2,Combo,1
Season-4,01794178-cf41-454c-ac37-1d8b18e42db2,Combo-Control,3
Season-4,01794178-cf41-454c-ac37-1d8b18e42db2,Control-Aggro (Midrange),3
Season-4,01978fe5-00a9-4add-ae2a-b4c2572ffb9a,Combo,2
Season-4,01978fe5-00a9-4add-ae2a-b4c2572ffb9a,Control,1
Season-4,01c6f877-6b00-4d57-8a88-36cd3b16edbc,Aggro,3
Season-4,01c6f877-6b00-4d57-8a88-36cd3b16edbc,Aggro-Combo,2
Season-4,01c6f877-6b00-4d57-8a88-36cd3b16edbc,Combo,1
Season-4,01c6f877-6b00-4d57-8a88-36cd3b16edbc,Control-Aggro (Midrange),4
Season-4,01d1e394-1b0c-4b40-ba85-f55973703d41,Aggro-Control (Tempo),1
