Category,Card Name
Fetchlands,Flooded Strand
Fetchlands,Polluted Delta
Fetchlands,Bloodstained Mire
Fetchlands,Wooded Foothills
Fetchlands,Windswept Heath
Fetchlands,Marsh Flats
Fetchlands,Scalding Tarn
Fetchlands,Verdant Catacombs
Fetchlands,Arid Mesa
Fetchlands,Misty Rainforest
Shocklands,Hallowed Fountain
Shocklands,Watery Grave
Shocklands,Blood Crypt
Shocklands,Stomping Ground
Shocklands,Temple Garden
Shocklands,Godless Shrine
Shocklands,Steam Vents
Shocklands,Overgrown Tomb
Shocklands,Sacred Foundry
Shocklands,Breeding Pool
Duallands,Tundra
Duallands,Underground Sea
Duallands,Badlands
Duallands,Taiga
Duallands,Savannah
Duallands,Scrubland
Duallands,Volcanic Island
Duallands,Bayou
Duallands,Plateau
Duallands,Tropical Island
Surveillands,Meticulous Archive
Surveillands,Undercity Sewers
Surveillands,Raucous Theater
Surveillands,Commercial District
Surveillands,Lush Portico
Surveillands,Shadowy Backstreet
Surveillands,Thundering Falls
Surveillands,Underground Mortuary
Surveillands,Elegant Parlor
Surveillands,Hedge Maze
Triomes,Spara's Headquarters
Triomes,Raffine's Tower
Triomes,Xander's Lounge
Triomes,Ziatora's Proving Ground
Triomes,Jetmir's Garden
Triomes,Savai Triome
Triomes,Ketria Triome
Triomes,Indatha Triome
Triomes,Raugrin Triome
Triomes,Zagoth Triome
Landscapes,Tranquil Landscape
Landscapes,Contaminated Landscape
Landscapes,Seething Landscape
Landscapes,Twisted Landscape
Landscapes,Sheltering Landscape
Landscapes,Shattered Landscape
Landscapes,Bountiful Landscape
Landscapes,Deceptive Landscape
Landscapes,Perilous Landscape
Landscapes,Foreboding Landscape
Reanimator Spells,Reanimate
Reanimator Spells,Exhume
Reanimator Spells,Animate Dead
Reanimator Spells,Dance of the Dead
Reanimator Spells,Necromancy
Reanimator Spells,Recurring Nightmare
One Mana Mana Elves,Avacyn's Pilgrim
One Mana Mana Elves,Birds of Paradise
One Mana Mana Elves,Delighted Halfling
One Mana Mana Elves,Elvish Mystic
One Mana Mana Elves,Gilded Goose
One Mana Mana Elves,Ignoble Hierarch
One Mana Mana Elves,Llanowar Elves
One Mana Mana Elves,Noble Hierarch
Fast Mana,Black Lotus
Fast Mana,Jack-in-the-mox
Fast Mana,Mana Crypt
Fast Mana,Mox Poison
Fast Mana,Gleemox
Fast Mana,Mox Emerald
Fast Mana,Mox Jet
Fast Mana,Mox Pearl
Fast Mana,Mox Poison
Fast Mana,Mox Ruby
Fast Mana,Mox Sapphire
Fast Mana,Sol Ring
1-2 Mana Counterspells,Spell Pierce
1-2 Mana Counterspells,Stern Scolding
1-2 Mana Counterspells,Arcane Denial
1-2 Mana Counterspells,Counterspell
1-2 Mana Counterspells,Daze
1-2 Mana Counterspells,Lose Focus
1-2 Mana Counterspells,Mana Drain
1-2 Mana Counterspells,Mana Leak
1-2 Mana Counterspells,Miscalculation
1-2 Mana Counterspells,Remand
2+ Mana Ramp Artifacts,Fellwar Stone
2+ Mana Ramp Artifacts,Grim Monolith
2+ Mana Ramp Artifacts,Mind Stone
2+ Mana Ramp Artifacts,Pentad Prism
2+ Mana Ramp Artifacts,Talisman of Creativity
2+ Mana Ramp Artifacts,Talisman of Curiosity
2+ Mana Ramp Artifacts,Talisman of Dominance
2+ Mana Ramp Artifacts,Talisman of Progress
2+ Mana Ramp Artifacts,Basalt Monolith
2+ Mana Ramp Artifacts,Coalition Relic
2+ Mana Ramp Artifacts,Everflowing Chalice
