card_id,card_name
23b95b26-0bbf-4fa1-80c1-f621f1a1b947,Damn
a7a8b6b8-b95f-4014-b17a-a6d44d965995,City of Traitors
fa7b7897-36e0-415a-8bb7-602886164852,Show and Tell
5ab21006-7f61-49e0-8b6a-0397c5d4c3bd,Imperial Seal
71384418-173a-4f77-adab-56e52fa23692,Delighted Halfling
90107d10-e2aa-4cb7-a000-039f0c581b47,Simic Signet
62b3f560-262b-4bc3-9aef-535fd7082c28,Vaultborn Tyrant
310a1c46-8331-4a09-9fcb-d942f8102364,Thoughtseize
564caf57-4ba5-4993-a35e-945699c94eb7,Toxic Deluge
a2c56479-4bee-4edb-80d7-4af010b7c793,Raffine's Tower
2b74bb81-fb9a-40e5-a941-e517430b52f5,Indatha Triome
229a0d4a-3777-451d-a2fb-f1a2fdf8019f,Spara's Headquarters
1be9d9a4-d7ee-4854-abc2-85cabf993ec9,Archon of Cruelty
b50e1800-a45c-43bd-8886-8a06145d9346,Recurring Nightmare
43aa7e35-55ee-4e02-a8aa-ea2b267055d1,Woodfall Primus
064dfdeb-485f-473e-9fa0-8fdb7638cdc6,Dismember
cea3b218-0e6e-443a-84f7-380f1021e8e1,Barrowgoyf
1ee98955-4c47-4d45-9377-608dfa755337,Bone Shards
5427d8a6-ac9e-4e50-bd39-81713b2ade25,Fatal Push
2424f2c4-366b-42cf-bf4b-a8a5bfdd2c4b,Life // Death
4a1f905f-1d55-4d02-9d24-e58070793d3f,"Atraxa, Grand Unifier"
75fdce80-e338-4a50-bdc6-786511feaeef,Ziatora's Proving Ground
87d5e94b-0b35-4efd-9158-1767dcaea38c,Witherbloom Command
76ae81ea-13e3-4ab8-b956-4c7b139a5e9c,Corpse Dance
175b3d28-5c74-4972-9b5c-5e39762c78f4,Relic of Sauron
4720b4f2-e6af-4223-9250-a0ed21ed5693,Pest Infestation
4216656e-90e8-45fc-a0f6-0d0d79d0a021,Shelldock Isle
d5c782cc-c951-4c6f-a93f-774ae6c1c214,Shallow Grave
e5145f31-a4ac-44ef-8f85-e4d95f2c9ff5,Library of Alexandria
2398892d-28e9-4009-81ec-0d544af79d2b,Ancestral Recall
a3012af9-621d-4fae-b00d-079a89ae35fe,Harvester of Misery
5f1cdcba-a04a-4a2f-8bc1-0dd7fa03754d,Exhume
3faa8c5e-9e1b-4cee-b322-a033bf33dcbc,Hymn to Tourach
2b5315a4-6a78-456f-8d5a-fea9d62f3f0e,Strip Mine
a6539e26-b63b-4725-9407-caaf451de084,Troll of Khazad-dûm
311a6257-dd77-4bb6-81cb-c8e7862350f3,Necromancy
54f449ff-4025-465e-9ec5-a5cf42c4c9d3,Xander's Lounge
3c02b8ee-84cb-44cb-ba14-9e725a9d03ee,Ponder
5c70da33-ce5d-4b8b-9c1d-9a356a7e196f,Grave Titan
18a3cca1-e50e-49b6-9e1a-f86640e3b177,Snuff Out
073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a,Sol Ring
02d6d693-f1f3-4317-bcc0-c21fa8490d38,"Jace, Vryn's Prodigy // Jace, Telepath Unbound"
62d37423-3445-412a-9abd-0480da404637,Phyrexian Fleshgorger
247939d9-87e9-4f01-b223-fb4cfa7dbbe1,Mana Leak
56995b84-2307-4955-9c7c-dc4f04acdc07,Inquisition of Kozilek
95c14c4d-6c16-4826-8d93-d89ad04aee09,"Etali, Primal Conqueror // Etali, Primal Sickness"
05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Bitter Triumph
493a5ca7-5f90-4af4-b6db-43ae09a2f2c9,Dark Ritual
4c732dc7-dd6b-4cc1-bbe0-ff3b1d2c7419,Animate Dead
e6befbc4-1320-4f26-bd9f-b1814fedda10,Grief
04fc99dc-bfbe-4567-b791-6b1db96471ec,Reanimate
fa6ac7d2-0127-49a8-b7d2-a38308d3c27b,"Liliana, the Last Hope"
492b368b-de32-45c1-8459-238aae54f9fc,Unmarked Grave
1785cb18-c291-4fd5-b8c7-ace893c32e49,Mesmeric Fiend
5ad36fb2-c44e-4085-ba0d-54277841ad3a,Lurrus of the Dream-Den
551c0a45-9515-4e51-84e5-79703832a661,Expedition Map
045ce37b-86d2-4e56-84af-b6625b53d13c,Path to Exile
70e33f45-7d47-423b-a123-8541f1d1afb4,Lingering Souls
612b2e6e-fe8d-49ad-b845-6fa7fa59ffd1,Concealing Curtains // Revealing Eye
eca8d6f8-c6f1-437c-99e2-4281eae14a6f,Fateful Absence
d6ec3293-b09e-4931-ac4e-dc5eac0ca004,Mana Vault
dcb94950-3f3e-4876-84f8-d5e4d9cfecee,Charming Prince
47c8e6c4-450b-4f8b-b897-5808fe935a90,Vampire Hexmage
3d3025a2-4a17-4137-ba0b-bd676c6f5f88,"Tinybones, the Pickpocket"
522aa72b-2b8c-484c-872b-f082101cee35,Get Lost
cb94a02f-4660-45b6-8a39-941b710cf8f3,Collective Brutality
a8069994-b103-40dc-9e14-062004914ec8,Cathar Commando
107492bd-b32f-4692-917c-7771986b5bf7,Thespian's Stage
2be39749-ad6f-4160-99eb-c677eee7f1b2,Thraben Inspector
b6cb2549-e485-44d6-9d65-7605c568909e,Unearth
00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Dark Depths
9a9a1df5-a4e8-49a4-aebe-ca93894ccfcf,Dimir Signet
df9d9075-2d1e-4848-b661-816d539e05eb,Emperor of Bones
05cf51d8-9f91-42ff-99e9-4397f2251c20,Dark Confidant
69c68c95-b788-43b1-9f22-1b22c5a00b25,Deep-Cavern Bat
06c0c35d-a26e-473a-9206-8fbda7191700,Entomb
f44e5128-e146-4e46-b313-a40d82719d1d,Spirit of the Labyrinth
09521f23-52d6-482d-9f3b-c4d12fcc08cc,Tidehollow Sculler
17f28b16-da65-41a8-ba4f-f1c5e104aad6,Council's Judgment
345a4aee-5846-4ae9-9af1-4c8fe8d692ec,Winds of Abandon
b045c28a-39f9-4cd9-8f3a-a626b697f409,Cathartic Pyre
9d3a7998-ccac-45ad-a4e9-3a2cb057f63b,Elite Spellbinder
55707746-da6e-46e5-a5ca-7ac843fdc38e,"Phelia, Exuberant Shepherd"
f231caf8-56c0-4719-a90d-5e5efbee3148,Den of the Bugbear
24e58478-c6a8-4f86-854a-a489c99bd777,Usher of the Fallen
18092f68-b96e-4084-9eba-b240d2195d81,"Adeline, Resplendent Cathar"
80c72839-0fa6-4b5f-83b7-6553ebf09bef,"Otharri, Suns' Glory"
1066a94a-8e4f-4d77-820b-7a77a18116f0,Wooded Foothills
fe964e7e-e2c5-4263-889d-0a531eb51442,Luminarch Aspirant
8e42df9e-95f2-4c79-9274-2d16e3cd91f1,"Thalia, Guardian of Thraben"
0cb33b46-4d1b-4f97-bfdc-d815aee111da,Mana Crypt
