scryfall_id,card_name,cmc,type_line,is_creature,is_land,image_url,image_url_small,local_path
24da9431-7e52-44f5-bc18-2f2d8a4ca81e,Abrade,2.0,Instant,False,False,https://cards.scryfall.io/normal/front/2/4/24da9431-7e52-44f5-bc18-2f2d8a4ca81e.jpg?1783930170,https://cards.scryfall.io/small/front/2/4/24da9431-7e52-44f5-bc18-2f2d8a4ca81e.jpg?1783930170,
3b1e92b4-6e53-4dba-a572-c67e01965ac5,Abrupt Decay,2.0,Instant,False,False,https://cards.scryfall.io/normal/front/3/b/3b1e92b4-6e53-4dba-a572-c67e01965ac5.jpg?1783940344,https://cards.scryfall.io/small/front/3/b/3b1e92b4-6e53-4dba-a572-c67e01965ac5.jpg?1783940344,
5ad86b17-3fed-418a-938c-c49adb409531,Abundant Harvest,1.0,Sorcery,False,False,https://cards.scryfall.io/normal/front/5/a/5ad86b17-3fed-418a-938c-c49adb409531.jpg?1783926837,https://cards.scryfall.io/small/front/5/a/5ad86b17-3fed-418a-938c-c49adb409531.jpg?1783926837,
af09af65-0a3b-42df-b0fd-372e2158beac,Academy Ruins,0.0,Legendary Land,False,True,https://cards.scryfall.io/normal/front/a/f/af09af65-0a3b-42df-b0fd-372e2158beac.jpg?1783943196,https://cards.scryfall.io/small/front/a/f/af09af65-0a3b-42df-b0fd-372e2158beac.jpg?1783943196,
21c950d7-b4f6-4902-8c9a-98f2933f9fa5,Adanto Vanguard,2.0,Creature — Vampire Soldier,True,False,https://cards.scryfall.io/normal/front/2/1/21c950d7-b4f6-4902-8c9a-98f2933f9fa5.jpg?1783935808,https://cards.scryfall.io/small/front/2/1/21c950d7-b4f6-4902-8c9a-98f2933f9fa5.jpg?1783935808,
18092f68-b96e-4084-9eba-b240d2195d81,"Adeline, Resplendent Cathar",3.0,Legendary Creature — Human Knight,True,False,https://cards.scryfall.io/normal/front/1/8/18092f68-b96e-4084-9eba-b240d2195d81.jpg?1783925668,https://cards.scryfall.io/small/front/1/8/18092f68-b96e-4084-9eba-b240d2195d81.jpg?1783925668,
96b6b2e1-c3e6-464c-8a13-b15deb34e862,Aetherflux Reservoir,4.0,Artifact,False,False,https://cards.scryfall.io/normal/front/9/6/96b6b2e1-c3e6-464c-8a13-b15deb34e862.jpg?1783937164,https://cards.scryfall.io/small/front/9/6/96b6b2e1-c3e6-464c-8a13-b15deb34e862.jpg?1783937164,
0d16e8e0-31b2-4389-afd6-783c501f6fa0,"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",2.0,Legendary Creature — Cat Warrior // Legendary Planeswalker — Ajani,True,False,https://cards.scryfall.io/normal/front/0/d/0d16e8e0-31b2-4389-afd6-783c501f6fa0.jpg?1783911238,https://cards.scryfall.io/small/front/0/d/0d16e8e0-31b2-4389-afd6-783c501f6fa0.jpg?1783911238,
ab9f6a1b-8467-4584-affd-8c71d3e34d2f,"Akal Pakal, First Among Equals",3.0,Legendary Creature — Human Advisor,True,False,https://cards.scryfall.io/normal/front/a/b/ab9f6a1b-8467-4584-affd-8c71d3e34d2f.jpg?1783913800,https://cards.scryfall.io/small/front/a/b/ab9f6a1b-8467-4584-affd-8c71d3e34d2f.jpg?1783913800,
a93e3406-4e29-4bc0-ae52-cbd2ac1f99a4,"Alesha, Who Laughs at Fate",3.0,Legendary Creature — Human Warrior,True,False,https://cards.scryfall.io/normal/front/a/9/a93e3406-4e29-4bc0-ae52-cbd2ac1f99a4.jpg?1783909093,https://cards.scryfall.io/small/front/a/9/a93e3406-4e29-4bc0-ae52-cbd2ac1f99a4.jpg?1783909093,
