season_id,deck_color_short,games_played,games_won,game_winrate,matches_played,matches_won,match_winrate
Season-4,B,17,6,0.35294117647058826,8,3,0.375
Season-4,BG,30,8,0.26666666666666666,12,2,0.16666666666666666
Season-4,BR,72,42,0.5833333333333334,30,19,0.6333333333333333
Season-4,BRG,21,14,0.6666666666666666,8,6,0.75
Season-4,G,70,38,0.5428571428571428,28,16,0.5714285714285714
Season-4,R,17,10,0.5882352941176471,8,4,0.5
Season-4,RG,55,30,0.5454545454545454,24,13,0.5416666666666666
Season-4,U,18,7,0.3888888888888889,8,4,0.5
Season-4,UB,140,85,0.6071428571428571,58,39,0.6724137931034483
Season-4,UBG,30,13,0.43333333333333335,12,6,0.5
Season-4,UBR,82,45,0.5487804878048781,35,19,0.5428571428571428
Season-4,UG,46,19,0.41304347826086957,20,7,0.35
Season-4,UR,77,33,0.42857142857142855,31,13,0.41935483870967744
Season-4,W,28,15,0.5357142857142857,12,5,0.4166666666666667
Season-4,WB,56,35,0.625,24,17,0.7083333333333334
Season-4,WBG,30,18,0.6,12,8,0.6666666666666666
Season-4,WBR,20,9,0.45,8,4,0.5
Season-4,WG,66,24,0.36363636363636365,27,9,0.3333333333333333
Season-4,WR,122,67,0.5491803278688525,51,26,0.5098039215686274
Season-4,WRG,9,5,0.5555555555555556,4,2,0.5
Season-4,WU,95,37,0.3894736842105263,43,15,0.3488372093023256
Season-4,WUB,26,12,0.46153846153846156,12,5,0.4166666666666667
Season-4,WUG,28,14,0.5,12,6,0.5
Season-4,WUR,20,10,0.5,8,4,0.5
Season-4,WURG,41,20,0.4878048780487805,16,8,0.5
Season-5,B,18,5,0.2777777777777778,8,2,0.25
Season-5,BG,17,8,0.47058823529411764,8,4,0.5
Season-5,BR,55,28,0.509090909090909,24,12,0.5
Season-5,BRG,30,11,0.36666666666666664,12,4,0.3333333333333333
Season-5,G,50,29,0.58,20,13,0.65
Season-5,R,30,16,0.5333333333333333,12,7,0.5833333333333334
Season-5,RG,71,36,0.5070422535211268,32,17,0.53125
Season-5,U,17,8,0.47058823529411764,8,4,0.5
Season-5,UB,163,80,0.49079754601226994,70,35,0.5
Season-5,UBG,37,15,0.40540540540540543,16,5,0.3125
Season-5,UBR,65,41,0.6307692307692307,28,16,0.5714285714285714
Season-5,UBRG,30,17,0.5666666666666667,12,8,0.6666666666666666
Season-5,UG,50,26,0.52,23,12,0.5217391304347826
Season-5,UR,110,55,0.5,49,24,0.4897959183673469
Season-5,W,10,3,0.3,4,1,0.25
Season-5,WB,55,31,0.5636363636363636,24,15,0.625
Season-5,WBG,17,8,0.47058823529411764,8,4,0.5
Season-5,WBR,48,25,0.5208333333333334,20,10,0.5
