player,player_id,scryfallId,card_name,season_id,num_drafts_with_card,matches_played,matches_won,matches_drawn,matches_lost,match_win_rate,match_draw_rate,games_played,games_won,games_drawn,games_lost,game_win_rate,game_draw_rate
Guy,10,23b95b26-0bbf-4fa1-80c1-f621f1a1b947,Damn,Season-4,2,8,4,0,4,0.5,0.0,19,9,0,10,0.4736842105263157,0.0
Guy,10,a7a8b6b8-b95f-4014-b17a-a6d44d965995,City of Traitors,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,fa7b7897-36e0-415a-8bb7-602886164852,Show and Tell,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,5ab21006-7f61-49e0-8b6a-0397c5d4c3bd,Imperial Seal,Season-4,2,8,4,0,4,0.5,0.0,19,9,0,10,0.4736842105263157,0.0
Guy,10,71384418-173a-4f77-adab-56e52fa23692,Delighted Halfling,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,90107d10-e2aa-4cb7-a000-039f0c581b47,Simic Signet,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,62b3f560-262b-4bc3-9aef-535fd7082c28,Vaultborn Tyrant,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,310a1c46-8331-4a09-9fcb-d942f8102364,Thoughtseize,Season-4,3,12,6,1,5,0.5,0.0833333333333333,29,14,1,14,0.4827586206896552,0.0344827586206896
Guy,10,564caf57-4ba5-4993-a35e-945699c94eb7,Toxic Deluge,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,a2c56479-4bee-4edb-80d7-4af010b7c793,Raffine's Tower,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,2b74bb81-fb9a-40e5-a941-e517430b52f5,Indatha Triome,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,229a0d4a-3777-451d-a2fb-f1a2fdf8019f,Spara's Headquarters,Season-4,2,8,3,0,5,0.375,0.0,18,7,0,11,0.3888888888888889,0.0
Guy,10,1be9d9a4-d7ee-4854-abc2-85cabf993ec9,Archon of Cruelty,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,b50e1800-a45c-43bd-8886-8a06145d9346,Recurring Nightmare,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,43aa7e35-55ee-4e02-a8aa-ea2b267055d1,Woodfall Primus,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,064dfdeb-485f-473e-9fa0-8fdb7638cdc6,Dismember,Season-4,2,8,3,2,3,0.375,0.25,21,9,2,10,0.4285714285714285,0.0952380952380952
Guy,10,cea3b218-0e6e-443a-84f7-380f1021e8e1,Barrowgoyf,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,1ee98955-4c47-4d45-9377-608dfa755337,Bone Shards,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,5427d8a6-ac9e-4e50-bd39-81713b2ade25,Fatal Push,Season-4,2,8,3,2,3,0.375,0.25,21,9,2,10,0.4285714285714285,0.0952380952380952
Guy,10,2424f2c4-366b-42cf-bf4b-a8a5bfdd2c4b,Life // Death,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,4a1f905f-1d55-4d02-9d24-e58070793d3f,"Atraxa, Grand Unifier",Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,75fdce80-e338-4a50-bdc6-786511feaeef,Ziatora's Proving Ground,Season-4,3,12,6,0,6,0.5,0.0,28,13,0,15,0.4642857142857143,0.0
Guy,10,87d5e94b-0b35-4efd-9158-1767dcaea38c,Witherbloom Command,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,76ae81ea-13e3-4ab8-b956-4c7b139a5e9c,Corpse Dance,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,175b3d28-5c74-4972-9b5c-5e39762c78f4,Relic of Sauron,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,4720b4f2-e6af-4223-9250-a0ed21ed5693,Pest Infestation,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,4216656e-90e8-45fc-a0f6-0d0d79d0a021,Shelldock Isle,Season-4,3,12,5,2,5,0.4166666666666667,0.1666666666666666,29,13,2,14,0.4482758620689655,0.0689655172413793
Guy,10,d5c782cc-c951-4c6f-a93f-774ae6c1c214,Shallow Grave,Season-4,1,4,1,0,3,0.25,0.0,10,3,0,7,0.3,0.0
Guy,10,e5145f31-a4ac-44ef-8f85-e4d95f2c9ff5,Library of Alexandria,Season-4,2,8,3,1,4,0.375,0.125,20,8,1,11,0.4,0.05
Sili,6,2398892d-28e9-4009-81ec-0d544af79d2b,Ancestral Recall,Season-4,1,4,2,0,2,0.5,0.0,10,5,0,5,0.5,0.0
Sili,6,a3012af9-621d-4fae-b00d-079a89ae35fe,Harvester of Misery,Season-4,1,4,2,0,2,0.5,0.0,10,5,0,5,0.5,0.0
Sili,6,5f1cdcba-a04a-4a2f-8bc1-0dd7fa03754d,Exhume,Season-4,1,4,2,0,2,0.5,0.0,10,5,0,5,0.5,0.0
Sili,6,3faa8c5e-9e1b-4cee-b322-a033bf33dcbc,Hymn to Tourach,Season-4,1,4,2,0,2,0.5,0.0,10,5,0,5,0.5,0.0
Sili,6,2b5315a4-6a78-456f-8d5a-fea9d62f3f0e,Strip Mine,Season-4,4,16,8,0,8,0.5,0.0,36,19,0,17,0.5277777777777778,0.0
Sili,6,a6539e26-b63b-4725-9407-caaf451de084,Troll of Khazad-dûm,Season-4,2,8,5,0,3,0.625,0.0,19,11,0,8,0.5789473684210527,0.0
Sili,6,311a6257-dd77-4bb6-81cb-c8e7862350f3,Necromancy,Season-4,1,4,2,0,2,0.5,0.0,10,5,0,5,0.5,0.0
Sili,6,54f449ff-4025-465e-9ec5-a5cf42c4c9d3,Xander's Lounge,Season-4,2,8,3,0,5,0.375,0.0,19,8,0,11,0.4210526315789473,0.0
Sili,6,3c02b8ee-84cb-44cb-ba14-9e725a9d03ee,Ponder,Season-4,1,4,2,0,2,0.5,0.0,10,5,0,5,0.5,0.0
