change_id,season_id,timestamp,change_type,scryfallId,tags
1,Season-1,2021-05-05,adds,74af08d9-76ef-48aa-86c5-b92ea6e10c9f,[]
2,Season-1,2021-05-05,adds,207d5f12-fbc6-4c75-9d84-fd2f0023fbd0,[]
3,Season-1,2021-05-05,adds,2f8f22fb-7291-4517-9b15-e98501f2856b,[]
4,Season-1,2021-05-05,adds,3178e55c-7e49-4621-906a-a66e5656e276,[]
5,Season-1,2021-05-05,adds,030cc5a5-efa2-446f-9adc-e5a16193bfe3,[]
6,Season-1,2021-05-05,adds,0003aa31-d42e-4972-9fb9-086aefe29a2c,[]
7,Season-1,2021-05-05,adds,04cad282-4a3d-4688-8607-79d0bdd0f29e,[]
8,Season-1,2021-05-05,adds,3949e64c-4a8f-40b3-b823-2bb01ebb2003,[]
9,Season-1,2021-05-05,adds,0463e989-ba32-4a46-a82f-e0d6daf3cd51,[]
10,Season-1,2021-05-05,adds,158bf702-61be-483b-864c-e3ef010c10d2,[]
11,Season-1,2021-05-05,adds,89f5cc05-5d9d-4709-b3c5-a6249c294acc,[]
12,Season-1,2021-05-05,adds,1132218d-56cd-441e-9006-df3c50344491,[]
13,Season-1,2021-05-05,adds,01c6f877-6b00-4d57-8a88-36cd3b16edbc,[]
14,Season-1,2021-05-05,adds,02b642ff-eb7d-4c10-9d5b-477af2e52e59,[]
15,Season-1,2021-05-05,adds,1ab94f16-778d-4437-a1b9-2f67cd214cc0,[]
16,Season-1,2021-05-05,adds,4eeed580-d00d-4d8c-a137-18b0f354933d,[]
17,Season-1,2021-05-05,adds,151bdf3a-4445-43b1-8cea-2737c13d9dee,[]
18,Season-1,2021-05-05,adds,226b1cc4-44be-4d8d-963a-93c84b09c7f0,[]
19,Season-1,2021-05-05,adds,6aa5cc65-f8f1-4f6f-8b4e-2fedccbda684,[]
20,Season-1,2021-05-05,adds,0f065e87-8a9c-4d5d-ae26-a614f1054799,[]
21,Season-1,2021-05-05,adds,33a1fe45-52d2-4c50-bedc-eee156ab69c8,[]
22,Season-1,2021-05-05,adds,1e577638-a7ed-4bcc-90fb-0cffe87d5a28,[]
23,Season-1,2021-05-05,adds,3dc5f957-c1e4-452d-a78b-8d772ea0b940,[]
24,Season-1,2021-05-05,adds,10418027-7b05-49e7-8ff4-6a03e3fb656b,[]
25,Season-1,2021-05-05,adds,088dab4a-0090-4509-a851-25d916b30236,[]
26,Season-1,2021-05-05,adds,14d6bfda-c066-4cc0-b317-3d8c7c168546,[]
27,Season-1,2021-05-05,adds,14bd3d19-033e-41a7-8710-02b73ba0b4e4,[]
28,Season-1,2021-05-05,adds,03e0147e-841c-4593-83ce-001bf03885f2,[]
29,Season-1,2021-05-05,adds,0f278246-fd11-48ba-8ec0-1a4511dfa6f4,[]
30,Season-1,2021-05-05,adds,2363110c-7373-4698-92b0-7766504f99a3,[]
31,Season-1,2021-05-05,adds,252c92b2-be78-4f1b-8eb9-a7993bcfe079,[]
32,Season-1,2021-05-05,adds,0c0e7131-db26-448d-afda-f48337a026f0,[]
33,Season-1,2021-05-05,adds,351de611-2162-4d3e-9080-ad29fb300243,[]
34,Season-1,2021-05-05,adds,2597050f-6b1b-474e-aa16-33fd154628ca,[]
35,Season-1,2021-05-05,adds,06462b57-1b0e-4c9c-9531-c14b9f2d5a3b,[]
36,Season-1,2021-05-05,adds,1a733dd1-fe2a-436c-a723-68d000973419,[]
37,Season-1,2021-05-05,adds,5b012532-1186-4dc8-9d42-867e418b0280,[]
38,Season-1,2021-05-05,adds,006d2bf1-20f7-4b09-8d98-8233d91682bd,[]
39,Season-1,2021-05-05,adds,0632d42e-ee81-4ceb-82af-c5cbf32e3d1a,[]
40,Season-1,2021-05-05,adds,0a91920a-7de3-4e9b-9cce-ff43ce0157b8,[]
41,Season-1,2021-05-05,adds,41769d51-014b-4d23-b495-fa4a6e03684e,[]
42,Season-1,2021-05-05,adds,03dea775-bbb3-4e9c-8514-0605b5ad2e8b,[]
43,Season-1,2021-05-05,adds,2750bee4-7dfa-4128-989c-5f81af1b322a,[]
44,Season-1,2021-05-05,adds,32141ae3-0c1c-480c-8f61-90a46d5ce54c,[]
45,Season-1,2021-05-05,adds,0bb81647-e8ff-492e-a862-1b1ca142efe6,[]
46,Season-1,2021-05-05,adds,b4160322-ff40-41a4-887a-73cd6b85ae45,[]
47,Season-1,2021-05-05,adds,0135ada3-e5ae-4382-a717-872839bf1d5a,[]
48,Season-1,2021-05-05,adds,3afd325d-4b1f-451b-a6b9-1ccc8d11648b,[]
49,Season-1,2021-05-05,adds,42173714-702c-4562-b3b0-81013a73e29d,[]
50,Season-1,2021-05-05,adds,25d63632-c019-4f34-926a-42f829a4665c,[]
51,Season-1,2021-05-05,adds,0faca514-b7f3-4d34-a259-d03bad50611b,[]
52,Season-1,2021-05-05,adds,1eb2fba2-fa50-4e69-aadb-d28479f821b9,[]
53,Season-1,2021-05-05,adds,0e07a16f-d836-40f9-85e3-a78582a97109,[]
54,Season-1,2021-05-05,adds,09b792b3-ed87-4360-a392-506e5f8140a1,[]
55,Season-1,2021-05-05,adds,075cac04-9397-4edb-b49a-485dd58dcae1,[]
56,Season-1,2021-05-05,adds,029b6d93-0f7a-4df4-8c01-96cbd5e03315,[]
57,Season-1,2021-05-05,adds,520db5fb-d961-45a3-af74-6f054b8be3ab,[]
58,Season-1,2021-05-05,adds,36df0c13-b7cb-44d6-85e1-17f2967a0f55,[]
59,Season-1,2021-05-05,adds,53760940-50e4-45d4-8297-353c9fc896e9,[]
60,Season-1,2021-05-05,adds,66c61828-98b9-4264-b3dd-e83f881f4a67,[]
61,Season-1,2021-05-05,adds,28667c8b-d02c-4e57-a050-1549207b65d1,[]
62,Season-1,2021-05-05,adds,03f442e9-a69b-4d03-959d-1f82793d8242,[]
63,Season-1,2021-05-05,adds,000619be-f2b4-407d-a76c-7245d8cab7bd,[]
64,Season-1,2021-05-05,adds,08784b79-570d-495c-a05e-d5fe3e876a97,[]
65,Season-1,2021-05-05,adds,0a155b60-8aff-4492-8cfd-299a53f5cf1b,[]
66,Season-1,2021-05-05,adds,02902fcc-eefc-4e81-aafd-59fa203a71d7,[]
67,Season-1,2021-05-05,adds,008b1ea5-1a8d-4a9d-b208-421fea2f9c58,[]
68,Season-1,2021-05-05,adds,76b6f3e6-7b3c-4fc5-bc38-1e4c2c2ae86b,[]
69,Season-1,2021-05-05,adds,0eee981e-5d26-4810-90e1-432f3c3107f2,[]
70,Season-1,2021-05-05,adds,262331f4-5e9c-4019-8ab8-3a97a2a6f1e6,[]
71,Season-1,2021-05-05,adds,1612bf83-c800-41de-ab06-fb1732d5b5a6,[]
72,Season-1,2021-05-05,adds,048fdbc1-4180-493c-8e99-5bee56647080,[]
73,Season-1,2021-05-05,adds,4979cc1b-9c1a-47e4-ae37-7c41798eb89a,[]
74,Season-1,2021-05-05,adds,5357e802-2d25-48d3-a188-101c142787b7,[]
75,Season-1,2021-05-05,adds,058da946-cf26-4190-98bc-c155244339fb,[]
76,Season-1,2021-05-05,adds,6f11029a-b24d-4248-834f-b852b56857f6,[]
77,Season-1,2021-05-05,adds,5c94e2b8-9fe6-41fd-bf43-ab7534abfd33,[]
78,Season-1,2021-05-05,adds,00694044-99c9-49f1-9e93-274d702a59f8,[]
79,Season-1,2021-05-05,adds,084b7337-c06f-4cbf-8fc0-0b20c221f1dc,[]
80,Season-1,2021-05-05,adds,0d8bd167-5bb0-4823-b335-1fd84a51d010,[]
81,Season-1,2021-05-05,adds,0827c728-5526-4abe-ad21-311594a0bc13,[]
82,Season-1,2021-05-05,adds,1ffa1319-a1de-4f0d-b29d-6645171f9a51,[]
83,Season-1,2021-05-05,adds,085ed548-a8c8-40b3-8183-51c060bc95cb,[]
84,Season-1,2021-05-05,adds,41c79afa-8f88-48bd-9122-984327d3e54d,[]
85,Season-1,2021-05-05,adds,01b8df75-fe70-4db0-9082-0b04d198f97b,[]
86,Season-1,2021-05-05,adds,18f23daa-bc59-456a-8a28-3823e51bc74b,[]
87,Season-1,2021-05-05,adds,41bdc107-fc1c-4fb3-869d-a95166fb821f,[]
88,Season-1,2021-05-05,adds,2d9dd0bc-6169-4fce-96ed-0e929e2902a6,[]
89,Season-1,2021-05-05,adds,13c7a547-ed19-465e-96d5-13aa51886239,[]
90,Season-1,2021-05-05,adds,03a01e89-f109-49d9-a33e-03afef650636,[]
91,Season-1,2021-05-05,adds,69923060-9015-41ea-91ad-f3252ba25c85,[]
92,Season-1,2021-05-05,adds,0559352e-95c1-403b-bd8f-d0679717cfa2,[]
93,Season-1,2021-05-05,adds,6ccc9529-b25a-41a7-9d27-a952f3cbdf38,[]
94,Season-1,2021-05-05,adds,0c699887-3e45-47eb-9e9e-f537b8756690,[]
95,Season-1,2021-05-05,adds,2794c82b-e5ce-4369-894e-bf56c6402ae1,[]
96,Season-1,2021-05-05,adds,0cb6cbbe-c3e9-4d14-a6b8-fb74e6a02b33,[]
97,Season-1,2021-05-05,adds,0fc3ed63-96ee-420c-bde1-e0c904059931,[]
98,Season-1,2021-05-05,adds,25dd861f-ee63-4d79-b31b-173c9c336426,[]
99,Season-1,2021-05-05,adds,2f00f09b-a113-460e-ac2f-d3988a83179e,[]
100,Season-1,2021-05-05,adds,1ecc64b6-6f2c-4b20-aa80-54cc47382606,[]
101,Season-1,2021-05-05,adds,04fc99dc-bfbe-4567-b791-6b1db96471ec,[]
102,Season-1,2021-05-05,adds,17f38740-20fd-4097-90f8-f0c2c2ff7281,[]
103,Season-1,2021-05-05,adds,07c17b01-ee5d-491a-8403-b3f819b778c4,[]
104,Season-1,2021-05-05,adds,1e6e80ec-68a4-4cfb-a712-2ea0d26dc6a1,[]
105,Season-1,2021-05-05,adds,0690f724-eb95-416b-b064-f1239e2a30e8,[]
106,Season-1,2021-05-05,adds,06c0c35d-a26e-473a-9206-8fbda7191700,[]
107,Season-1,2021-05-05,adds,06f7cc6d-c26c-466d-9659-90902f6b3559,[]
108,Season-1,2021-05-05,adds,0a07cba3-2e8d-48ec-a6f8-4d2edfcd833d,[]
109,Season-1,2021-05-05,adds,5403b49d-03a7-4cc3-af3c-df098c1c9c2e,[]
110,Season-1,2021-05-05,adds,928b0234-fc62-4ab8-b257-3fddcc52376b,[]
111,Season-1,2021-05-05,adds,84803db8-fdb0-462b-92f6-33d591593d2d,[]
112,Season-1,2021-05-05,adds,d5c782cc-c951-4c6f-a93f-774ae6c1c214,[]
113,Season-1,2021-05-05,adds,76ae81ea-13e3-4ab8-b956-4c7b139a5e9c,[]
114,Season-1,2021-05-05,adds,03da66e3-a369-4433-a2b8-8625403d34b0,[]
115,Season-1,2021-05-05,adds,33c5f81a-395d-41bf-9563-6cf0e406ee18,[]
116,Season-1,2021-05-05,adds,79029161-a2c9-4cf6-94c0-31400daa0e8e,[]
117,Season-1,2021-05-05,adds,059e8447-6b1c-4651-a734-a8fea2cbf7b2,[]
118,Season-1,2021-05-05,adds,006cbb74-7447-45fb-b44b-bac31832b392,[]
119,Season-1,2021-05-05,adds,0163dd21-9f9f-4656-b0b2-7774be0b6ada,[]
120,Season-1,2021-05-05,adds,1d3c7c00-3a27-4926-9cdd-b112dd35218a,[]
121,Season-1,2021-05-05,adds,0015ef55-4b85-4147-9974-b3ff4a1487c3,[]
122,Season-1,2021-05-05,adds,25d2ca0c-5e96-4d64-aa64-054d4dbcc471,[]
123,Season-1,2021-05-05,adds,3c0f5411-1940-410f-96ce-6f92513f753a,[]
