season_id,draft_id,match_id,player1,player2,player1Wins,player2Wins,draws,round
Season-4,20240922,Season-4_20240922_1_Joel R._Sili,Joel R.,Sili,1,2,0,1
Season-4,20240922,Season-4_20240922_1_Andrin_Tinu,Andrin,Tinu,1,1,1,1
Season-4,20240922,Season-4_20240922_1_Sam_Guy,Sam,Guy,1,2,0,1
Season-4,20240922,Season-4_20240922_1_Noe T._Lukas Stalder,Noe T.,Lukas Stalder,0,2,0,1
Season-4,20240922,Season-4_20240922_1_Yannik_Manuel,Yannik,Manuel,1,1,1,1
Season-4,20240922,Season-4_20240922_1_Joel K._Dimlas,Joel K.,Dimlas,1,2,0,1
Season-4,20240922,Season-4_20240922_2_Yannik_Tinu,Yannik,Tinu,0,2,0,2
Season-4,20240922,Season-4_20240922_2_Guy_Lukas Stalder,Guy,Lukas Stalder,0,2,0,2
Season-4,20240922,Season-4_20240922_2_Andrin_Manuel,Andrin,Manuel,0,2,0,2
Season-4,20240922,Season-4_20240922_2_Noe T._Joel R.,Noe T.,Joel R.,0,2,0,2
Season-4,20240922,Season-4_20240922_2_Sam_Joel K.,Sam,Joel K.,2,1,0,2
Season-4,20240922,Season-4_20240922_2_Sili_Dimlas,Sili,Dimlas,0,2,0,2
Season-4,20240922,Season-4_20240922_3_Guy_Sili,Guy,Sili,0,2,0,3
Season-4,20240922,Season-4_20240922_3_Sam_Joel R.,Sam,Joel R.,1,2,0,3
Season-4,20240922,Season-4_20240922_3_Noe T._Joel K.,Noe T.,Joel K.,1,1,1,3
Season-4,20240922,Season-4_20240922_3_Yannik_Andrin,Yannik,Andrin,0,2,0,3
Season-4,20240922,Season-4_20240922_3_Tinu_Manuel,Tinu,Manuel,2,0,0,3
Season-4,20240922,Season-4_20240922_3_Lukas Stalder_Dimlas,Lukas Stalder,Dimlas,1,2,0,3
Season-4,20240922,Season-4_20240922_4_Sili_Lukas Stalder,Sili,Lukas Stalder,1,2,0,4
Season-4,20240922,Season-4_20240922_4_Dimlas_Tinu,Dimlas,Tinu,2,1,0,4
Season-4,20240922,Season-4_20240922_4_Sam_Noe T.,Sam,Noe T.,2,0,0,4
Season-4,20240922,Season-4_20240922_4_Joel R._Manuel,Joel R.,Manuel,2,1,0,4
Season-4,20240922,Season-4_20240922_4_Yannik_Joel K.,Yannik,Joel K.,2,0,0,4
Season-4,20240922,Season-4_20240922_4_Andrin_Guy,Andrin,Guy,2,1,0,4
Season-4,20241020,Season-4_20241020_1_Pali_Dimlas,Pali,Dimlas,2,0,0,1
Season-4,20241020,Season-4_20241020_1_Joel K._Manuel,Joel K.,Manuel,1,2,0,1
Season-4,20241020,Season-4_20241020_1_Tommy_Joel R.,Tommy,Joel R.,1,2,0,1
Season-4,20241020,Season-4_20241020_1_Myri_Sili,Myri,Sili,0,2,0,1
Season-4,20241020,Season-4_20241020_1_Guy_Lukas Stalder,Guy,Lukas Stalder,2,1,0,1
Season-4,20241020,Season-4_20241020_1_Elie_Tobi,Elie,Tobi,0,2,0,1
Season-4,20241020,Season-4_20241020_2_Tommy_Lukas Stalder,Tommy,Lukas Stalder,0,2,0,2
Season-4,20241020,Season-4_20241020_2_Manuel_Guy,Manuel,Guy,1,1,1,2
Season-4,20241020,Season-4_20241020_2_Joel K._Dimlas,Joel K.,Dimlas,0,2,0,2
Season-4,20241020,Season-4_20241020_2_Tobi_Joel R.,Tobi,Joel R.,1,2,0,2
Season-4,20241020,Season-4_20241020_2_Pali_Sili,Pali,Sili,1,2,0,2
Season-4,20241020,Season-4_20241020_2_Myri_Elie,Myri,Elie,2,0,0,2
Season-4,20241020,Season-4_20241020_3_Guy_Myri,Guy,Myri,2,0,0,3
Season-4,20241020,Season-4_20241020_3_Manuel_Lukas Stalder,Manuel,Lukas Stalder,2,1,0,3
Season-4,20241020,Season-4_20241020_3_Elie_Joel K.,Elie,Joel K.,2,0,0,3
Season-4,20241020,Season-4_20241020_3_Pali_Tobi,Pali,Tobi,1,2,0,3
Season-4,20241020,Season-4_20241020_3_Dimlas_Tommy,Dimlas,Tommy,2,1,0,3
Season-4,20241020,Season-4_20241020_3_Sili_Joel R.,Sili,Joel R.,2,0,0,3
Season-4,20241020,Season-4_20241020_4_Sili_Manuel,Sili,Manuel,0,2,0,4
Season-4,20241020,Season-4_20241020_4_Dimlas_Joel R.,Dimlas,Joel R.,2,0,0,4
Season-4,20241020,Season-4_20241020_4_Lukas Stalder_Myri,Lukas Stalder,Myri,2,0,0,4
Season-4,20241020,Season-4_20241020_4_Joel K._Tommy,Joel K.,Tommy,0,2,0,4
